case_id,case_description,case_budget,case_lat,case_lon,preferred_gender,tutor_id,success,tutor_name,tutor_bio,tutor_rate,tutor_lat,tutor_lon,gender,distance_km,price_gap
1,"A-Level Physics student, SEN-friendly",46,22.33323722127248,114.20833079718562,Any,4,0,Tutor_4,Medical interview preparation tutor,127,22.34577615357037,114.24298986070936,Female,3.827645831059252,81
1,"A-Level Physics student, SEN-friendly",46,22.33323722127248,114.20833079718562,Any,33,0,Tutor_33,"Experienced Physics tutor, SEN-friendly",68,22.30178036093145,114.21777723858705,Female,3.6303132308144406,22
2,IB Math tutoring required,85,22.319536282515784,114.24668971075803,Female,39,1,Tutor_39,Math Olympiad specialist,80,22.32614062315788,114.16877913600442,Female,8.047609791753548,5
3,"English tutoring, SEN-friendly",68,22.318454340128994,114.20113464205058,Any,43,1,Tutor_43,Medical interview preparation tutor,109,22.32197293443064,114.17286798070378,Female,2.933823684390798,41
4,Medical interview prep,35,22.32625736756808,114.2200217116101,Any,42,1,Tutor_42,Math Olympiad specialist,75,22.332845598643942,114.197627252955,Female,2.4171152747610476,40
5,Aviation studies tutoring,39,22.321888140044145,114.20314373801364,Any,20,1,Tutor_20,"Experienced Physics tutor, SEN-friendly",115,22.318384968420155,114.16400691112588,Male,4.04456987219131,76
6,"English tutoring, SEN-friendly",94,22.283361021645497,114.1764733146312,Male,16,1,Tutor_16,Aviation studies expert tutor,97,22.309671014762937,114.21430404068424,Female,4.868988252681931,3
6,"English tutoring, SEN-friendly",94,22.283361021645497,114.1764733146312,Male,29,0,Tutor_29,Aviation studies expert tutor,103,22.323714630066167,114.21361217617611,Male,5.893389964783325,9
6,"English tutoring, SEN-friendly",94,22.283361021645497,114.1764733146312,Male,37,1,Tutor_37,Medical interview preparation tutor,142,22.303988670809108,114.17121882510442,Female,2.3565390481981985,48
6,"English tutoring, SEN-friendly",94,22.283361021645497,114.1764733146312,Male,9,1,Tutor_9,"English tutor, SEN-friendly",53,22.313770266319494,114.23264487246988,Male,6.6954835513961,41
8,"GCSE Chemistry tutoring, online",123,22.29000519824084,114.23706538906652,Male,28,1,Tutor_28,"Experienced Physics tutor, SEN-friendly",35,22.311815539333303,114.15890008155615,Male,8.399243923216943,88
10,Medical interview prep,41,22.329022822272997,114.22755326530888,Male,27,1,Tutor_27,Aviation studies expert tutor,112,22.334944109573257,114.21423790179506,Male,1.5196030598785693,71
10,Medical interview prep,41,22.329022822272997,114.22755326530888,Male,31,0,Tutor_31,"Experienced Physics tutor, SEN-friendly",110,22.303487436627368,114.15442159371965,Male,8.040837785728975,69
10,Medical interview prep,41,22.329022822272997,114.22755326530888,Male,8,1,Tutor_8,"Experienced Physics tutor, SEN-friendly",91,22.28309722971271,114.23353018879205,Male,5.143583550333173,50
12,"A-Level Physics student, SEN-friendly",38,22.339690842294207,114.22923409163502,Any,20,1,Tutor_20,"Experienced Physics tutor, SEN-friendly",115,22.318384968420155,114.16400691112588,Male,7.115099906529427,77
13,"English tutoring, SEN-friendly",101,22.329327727393093,114.1934101992272,Female,6,1,Tutor_6,Math Olympiad specialist,39,22.318383560625243,114.15610219924274,Male,4.025877682406355,62
13,"English tutoring, SEN-friendly",101,22.329327727393093,114.1934101992272,Female,42,0,Tutor_42,Math Olympiad specialist,75,22.332845598643942,114.197627252955,Female,0.5840820812684323,26
14,IB Math tutoring required,135,22.281694186104733,114.19525098436807,Female,16,1,Tutor_16,Aviation studies expert tutor,97,22.309671014762937,114.21430404068424,Female,3.6769627088711374,38
14,IB Math tutoring required,135,22.281694186104733,114.19525098436807,Female,37,1,Tutor_37,Medical interview preparation tutor,142,22.303988670809108,114.17121882510442,Female,3.501286532576419,7
14,IB Math tutoring required,135,22.281694186104733,114.19525098436807,Female,21,1,Tutor_21,Medical interview preparation tutor,104,22.34862711832638,114.21716966338846,Male,7.77664804951573,31
15,Aviation studies tutoring,91,22.28633825170088,114.16678068428828,Male,27,1,Tutor_27,Aviation studies expert tutor,112,22.334944109573257,114.21423790179506,Male,7.28318209232124,21
15,Aviation studies tutoring,91,22.28633825170088,114.16678068428828,Male,11,0,Tutor_11,"Math tutor, IB and A-Level",49,22.309840043069933,114.2157728775649,Female,5.677510995699849,42
15,Aviation studies tutoring,91,22.28633825170088,114.16678068428828,Male,37,1,Tutor_37,Medical interview preparation tutor,142,22.303988670809108,114.17121882510442,Female,2.0150543776385503,51
16,Math Olympiad training,134,22.30092292114224,114.18187434426729,Male,8,1,Tutor_8,"Experienced Physics tutor, SEN-friendly",91,22.28309722971271,114.23353018879205,Male,5.672190087831539,43
17,Math Olympiad training,102,22.33606237041463,114.21534010524178,Male,19,1,Tutor_19,"English tutor, SEN-friendly",36,22.346482044538813,114.23733138676609,Female,2.541256002717653,66
17,Math Olympiad training,102,22.33606237041463,114.21534010524178,Male,14,1,Tutor_14,"Experienced Physics tutor, SEN-friendly",49,22.297245097524588,114.19159729920464,Female,4.959372806710409,53
17,Math Olympiad training,102,22.33606237041463,114.21534010524178,Male,48,1,Tutor_48,"Math tutor, IB and A-Level",104,22.34455642340561,114.23196851922714,Male,1.953692823381685,2
17,Math Olympiad training,102,22.33606237041463,114.21534010524178,Male,39,1,Tutor_39,Math Olympiad specialist,80,22.32614062315788,114.16877913600442,Female,4.9145022240539,22
18,IB Math tutoring required,77,22.33544799298509,114.16864260399473,Any,2,1,Tutor_2,"Experienced Physics tutor, SEN-friendly",70,22.33271727582222,114.15112635996913,Male,1.827018340952293,7
18,IB Math tutoring required,77,22.33544799298509,114.16864260399473,Any,26,1,Tutor_26,"English tutor, SEN-friendly",93,22.287789422892462,114.18362287880372,Female,5.518911084805834,16
18,IB Math tutoring required,77,22.33544799298509,114.16864260399473,Any,39,0,Tutor_39,Math Olympiad specialist,80,22.32614062315788,114.16877913600442,Female,1.0350290069328856,3
18,IB Math tutoring required,77,22.33544799298509,114.16864260399473,Any,9,1,Tutor_9,"English tutor, SEN-friendly",53,22.313770266319494,114.23264487246988,Male,7.010729190704074,24
19,Math Olympiad training,32,22.3309436158453,114.21964224055802,Female,42,1,Tutor_42,Math Olympiad specialist,75,22.332845598643942,114.197627252955,Female,2.2742125815304814,43
20,"A-Level Physics student, SEN-friendly",101,22.320717380618674,114.16412568043964,Female,41,1,Tutor_41,Medical interview preparation tutor,101,22.28634031952153,114.1872906825641,Male,4.504581894645344,0
20,"A-Level Physics student, SEN-friendly",101,22.320717380618674,114.16412568043964,Female,11,1,Tutor_11,"Math tutor, IB and A-Level",49,22.309840043069933,114.2157728775649,Female,5.448756603844557,52
20,"A-Level Physics student, SEN-friendly",101,22.320717380618674,114.16412568043964,Female,27,1,Tutor_27,Aviation studies expert tutor,112,22.334944109573257,114.21423790179506,Male,5.391749002326071,11
20,"A-Level Physics student, SEN-friendly",101,22.320717380618674,114.16412568043964,Female,4,1,Tutor_4,Medical interview preparation tutor,127,22.34577615357037,114.24298986070936,Female,8.576759701202876,26
21,"English tutoring, SEN-friendly",62,22.335521995204864,114.1638816670752,Female,2,1,Tutor_2,"Experienced Physics tutor, SEN-friendly",70,22.33271727582222,114.15112635996913,Male,1.3484890435629129,8
21,"English tutoring, SEN-friendly",62,22.335521995204864,114.1638816670752,Female,25,1,Tutor_25,Medical interview preparation tutor,43,22.335566759301493,114.22029200108364,Male,5.801950128621708,19
21,"English tutoring, SEN-friendly",62,22.335521995204864,114.1638816670752,Female,44,0,Tutor_44,"English tutor, SEN-friendly",45,22.348652598459225,114.19217959669412,Female,3.256082403570948,17
22,"A-Level Physics student, SEN-friendly",69,22.30273794516007,114.20008690913582,Female,29,1,Tutor_29,Aviation studies expert tutor,103,22.323714630066167,114.21361217617611,Male,2.7159487682363332,34
